algo,condition,seed,episode,return,length,switched,fired_at
PPO_DR,C4,3,4,245.75003053491807,342,True,279.0
PPO_DR,C4,3,5,10.60874230646975,276,True,257.0
PPO_DR,C4,3,6,245.4202799426257,403,True,283.0
PPO_DR,C4,3,7,232.3031565994296,378,True,281.0
PPO_DR,C4,3,8,221.85112515895116,452,True,290.0
PPO_DR,C4,3,9,180.6087678657559,382,True,288.0
PPO_DR,C4,3,10,240.19563253647397,307,True,256.0
PPO_DR,C4,3,11,270.3885616463008,379,True,250.0
PPO_DR,C4,3,12,244.35353501876907,336,True,295.0
PPO_DR,C4,3,13,7.669719515494251,248,True,244.0
PPO_DR,C4,3,14,228.92377958955143,357,True,257.0
PPO_DR,C4,3,15,10.429176124806261,274,True,255.0
PPO_DR,C4,3,16,225.20773042621727,315,True,257.0
PPO_DR,C4,3,17,14.217923806953422,286,True,274.0
PPO_DR,C4,3,18,17.75003904176397,270,True,254.0
PPO_DR,C4,3,19,31.08726880783385,251,True,245.0
PPO_DR,C6,3,0,202.45448171688759,416,False,
PPO_DR,C6,3,1,210.67711325828296,410,False,
PPO_DR,C6,3,2,228.50791021682474,397,False,
PPO_DR,C6,3,3,247.9047339246092,409,True,185.0
PPO_DR,C6,3,4,233.6828622141059,395,False,
PPO_DR,C6,3,5,207.41112750704158,464,False,
PPO_DR,C6,3,6,207.04251477955228,587,False,
PPO_DR,C6,3,7,213.2204903776042,464,False,
PPO_DR,C6,3,8,216.3908136333464,507,False,
PPO_DR,C6,3,9,154.9367322002957,441,False,
PPO_DR,C6,3,10,218.3297693909061,430,False,
PPO_DR,C6,3,11,193.73911218886718,445,False,
PPO_DR,C6,3,12,226.1816547291105,414,False,
PPO_DR,C6,3,13,221.61923057069225,397,False,
PPO_DR,C6,3,14,181.39725616798785,533,False,
PPO_DR,C6,3,15,222.45777237065636,413,False,
PPO_DR,C6,3,16,210.6923529487125,418,False,
PPO_DR,C6,3,17,221.71251367455568,408,False,
PPO_DR,C6,3,18,215.0765278547549,422,False,
PPO_DR,C6,3,19,221.78430829414137,410,False,
PPO_DR,C5,3,0,-0.5609063051092562,266,True,257.0
PPO_DR,C5,3,1,27.04977705579155,259,True,254.0
PPO_DR,C5,3,2,258.65427440309793,298,True,185.0
PPO_DR,C5,3,3,222.9148568339911,436,True,279.0
PPO_DR,C5,3,4,253.93766927420617,298,True,185.0
PPO_DR,C5,3,5,10.60874230646975,276,True,257.0
PPO_DR,C5,3,6,245.4202799426257,403,True,274.0
PPO_DR,C5,3,7,220.65381474705777,381,True,250.0
PPO_DR,C5,3,8,219.4515513168592,430,True,247.0
PPO_DR,C5,3,9,202.2483320565943,417,True,254.0
PPO_DR,C5,3,10,240.2056038386107,309,True,283.0
PPO_DR,C5,3,11,-29.797273852310852,259,False,290.0
PPO_DR,C5,3,12,244.35353501876907,336,True,295.0
PPO_DR,C5,3,13,8.020510362216669,248,False,288.0
PPO_DR,C5,3,14,228.92377958955143,357,True,257.0
PPO_DR,C5,3,15,25.284436296618637,252,True,185.0
PPO_DR,C5,3,16,227.02764512334528,330,True,244.0
PPO_DR,C5,3,17,5.06383182415405,283,True,257.0
PPO_DR,C5,3,18,17.75003904176397,270,True,247.0
PPO_DR,C5,3,19,27.550591877687083,250,False,263.0
