algo,rate,seed,episode,return,length,final_gain
SAC,0.02,0,2.0,283.85569483912434,223.0,0.0
SAC,0.02,0,3.0,309.84940095759254,172.0,0.0
SAC,0.02,0,4.0,283.09500897133586,200.0,0.0
SAC,0.02,0,5.0,265.57644166157047,191.0,0.0
SAC,0.02,0,6.0,266.30069339963006,172.0,0.0
SAC,0.02,0,7.0,219.0943017560743,330.0,0.0
SAC,0.02,0,8.0,284.5142141689988,174.0,0.0
SAC,0.02,0,9.0,209.52784411204703,334.0,0.0
SAC,0.02,0,10.0,286.7791087747928,149.0,0.040000000000000036
SAC,0.02,0,11.0,254.43037471935128,185.0,0.0
SAC,0.02,0,12.0,277.00146725283787,220.0,0.0
SAC,0.02,0,13.0,267.1669318294197,198.0,0.0
SAC,0.02,0,14.0,283.3732829129423,147.0,0.07999999999999996
SAC,0.02,0,15.0,273.2664920402326,169.0,0.0
SAC,0.02,0,16.0,247.66793842273663,214.0,0.0
SAC,0.02,0,17.0,272.9988155091238,182.0,0.0
SAC,0.02,0,18.0,65.27058368239054,153.0,0.0
SAC,0.02,0,19.0,276.05055422162286,177.0,0.0
SAC,0.02,1,0.0,10.864385335063261,135.0,0.31999999999999995
SAC,0.02,1,1.0,279.6618986377672,187.0,0.0
SAC,0.02,1,2.0,47.28396714130298,151.0,0.0
SAC,0.02,1,3.0,2.7379995697340576,161.0,0.0
SAC,0.02,1,4.0,282.0508647598632,172.0,0.0
SAC,0.02,1,5.0,43.08706180088993,144.0,0.14
SAC,0.02,1,6.0,41.37255017165896,154.0,0.0
SAC,0.02,1,7.0,37.83571865738321,141.0,0.19999999999999996
SAC,0.02,1,8.0,316.47922557206175,247.0,0.0
SAC,0.02,1,9.0,38.47458027948471,155.0,0.0
SAC,0.02,1,10.0,42.665938415296495,161.0,0.0
